"game_id","refNum","total_cards","any_cards_light","any_cards_verylight","any_cards_dark","any_cards_verydark","proportion_cards_light","proportion_cards_verylight","proportion_cards_dark","proportion_cards_verydark"
1227,3025,2,1,0,0,1,0.5,0,0,0.5
1228,2939,1,1,0,0,0,1,0,0,0
1229,2803,3,2,1,0,0,0.666666666666667,0.333333333333333,0,0
1230,66,2,2,0,0,0,1,0,0,0
1231,2654,0,0,0,0,0,0,0,0,0
1232,2246,3,0,2,1,0,0,0.666666666666667,0.333333333333333,0
1233,1942,3,0,3,0,0,0,1,0,0
1234,949,2,0,1,1,0,0,0.5,0.5,0
1235,2246,4,1,3,0,0,0.25,0.75,0,0
1236,2165,1,0,1,0,0,0,1,0,0
